"","location","Year","method","recording_date","transcriber","n"
"4599","BG-2-78",2015,"3m1SPM+7mVS","2015-06-26","Nicole Boucher",1
"4600","BG-2-78",2015,"3m1SPM+7mVS","2015-06-29","Nicole Boucher",1
"4601","BG-2-78",2015,"3m1SPM+7mVS","2015-07-01","Nicole Boucher",1
"4602","BG-2-78",2015,"3m1SPM+7mVS","2015-07-06","Graeme Nordell",1
"4603","BG-2-79",2015,"3m1SPM+7mVS","2015-06-24","Alex MacPhail",1
"4604","BG-2-79",2015,"3m1SPM+7mVS","2015-06-25","Nicole Boucher",1
"4605","BG-2-79",2015,"3m1SPM+7mVS","2015-06-29","Nicole Boucher",1
"4606","BG-2-79",2015,"3m1SPM+7mVS","2015-07-01","Natalie Sanchez",1
"4607","BG-2-8",2015,"3m1SPM+7mVS","2015-06-22","Natalie Sanchez",1
"4608","BG-2-8",2015,"3m1SPM+7mVS","2015-06-23","Natalie Sanchez",1
"4609","BG-2-8",2015,"3m1SPM+7mVS","2015-06-24","Nicole Boucher",1
"4610","BG-2-8",2015,"3m1SPM+7mVS","2015-06-25","Nicole Boucher",1
"4611","BG-2-80",2015,"3m1SPM+7mVS","2015-06-23","Nicole Boucher",1
"4612","BG-2-80",2015,"3m1SPM+7mVS","2015-06-26","Nicole Boucher",1
"4613","BG-2-80",2015,"3m1SPM+7mVS","2015-06-28","Alex MacPhail",1
"4614","BG-2-80",2015,"3m1SPM+7mVS","2015-06-29","Nicole Boucher",1
"4615","BG-2-81",2015,"3m 1SPM","2015-06-08","D Emkoad",1
"4616","BG-2-81",2015,"3m1SPM+7mVS","2015-06-11","Alex MacPhail",1
"4617","BG-2-81",2015,"3m1SPM+7mVS","2015-06-11","Nicole Boucher",1
"4618","BG-2-81",2015,"3m1SPM+7mVS","2015-06-17","Alex MacPhail",1
"4619","BG-2-81",2015,"3m1SPM+7mVS","2015-06-21","Nicole Boucher",1
"4620","BG-2-82",2015,"3m 1SPM","2015-06-10","D Emkoad",1
"4621","BG-2-82",2015,"3m1SPM+7mVS","2015-06-09","Graeme Nordell",1
"4622","BG-2-82",2015,"3m1SPM+7mVS","2015-06-10","Nicole Boucher",1
"4623","BG-2-82",2015,"3m1SPM+7mVS","2015-06-19","Nicole Boucher",1
"4624","BG-2-83",2015,"3m1SPM+7mVS","2015-06-09","Nicole Boucher",1
"4625","BG-2-83",2015,"3m1SPM+7mVS","2015-06-10","Alex MacPhail",1
"4626","BG-2-83",2015,"3m1SPM+7mVS","2015-06-11","Nicole Boucher",1
"4627","BG-2-83",2015,"3m1SPM+7mVS","2015-06-22","Nicole Boucher",1
"4628","BG-2-84",2015,"3m1SPM+7mVS","2015-06-16","Alex MacPhail",1
