"","SS","Visits"
"1109","BG_3_24",3
"1110","BG_3_25",3
"1111","BG_3_26",3
"1112","BG_3_27",4
"1113","BG_3_28",4
"1114","BG_3_29",4
"1115","BG_3_30",3
"1116","BG_3_32",2
"1117","BG_3_33",3
"1118","BG_3_34",4
"1119","BG_3_35",4
"1120","BG_3_36",4
"1121","BG_3_37",3
"1122","BG_3_38",3
"1123","BG_3_39",4
"1124","BG_3_40",4
"1125","BG_3_42",4
"1126","BG_3_43",4
"1127","BG_3_44",4
"1128","BG_3_45",3
"1129","BG_3_46",3
"1130","BG_3_47",3
"1131","BG_3_48",1
"1132","BG_3_49",2
"1133","BG_3_50",3
"1134","BG_3_52",2
"1135","BG_3_53",3
"1136","BG_3_54",3
"1137","BG_3_55",3
"1138","BG_3_56",2
"1139","BG_3_57",8
"1140","BG_3_58",2
"1141","BG_3_59",4
"1142","BG_3_60",3
"1143","BG_3_62",7
"1144","BG_3_63",2
"1145","BG_3_64",3
"1146","BG_3_65",4
"1147","BG_3_66",2
"1148","BG_3_67",2
"1149","BG_3_68",4
